mean_lbp,std_lbp,LGLRE_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,directionality_tamura,label
222.080874,70.4610218,0.186523496,0.120183589,15070.6925,33240.99505,608.0138037,0
217.8070888,71.32268988,0.120976949,0.074670454,26258.95502,217748.0103,501.9081168,1
232.7329188,60.48881174,0.306924618,0.191079091,12445.60597,16643.78049,257.4636194,0
216.5541624,74.44690191,0.124282754,0.083306121,31050.94971,59133.13327,448.5133638,1
197.9811825,86.81184198,0.234017543,0.158440996,14203.95246,19011.22902,244.8984708,0
212.8281184,77.48127219,0.221302382,0.145542288,15983.74676,22493.52949,466.9389572,1
219.4016287,72.90722272,0.173059905,0.113577385,25695.40275,44755.73918,503.0105852,1
227.2750621,66.22688038,0.270627976,0.16728393,17495.55166,25185.95909,577.7483444,0
224.8751312,68.37003498,0.202273415,0.128072531,23652.84211,50493.03502,465.3176699,0
218.4143723,73.99073726,0.210317986,0.134194729,18535.0831,36507.80587,570.3604856,1
223.8186244,68.99179672,0.176389346,0.11289977,25594.66798,63150.22462,580.5412766,1
202.4518827,83.72231893,0.14873002,0.100421824,28253.19227,43089.86859,458.4423642,0
221.0397489,71.52404656,0.187116156,0.120567945,22333.70753,39009.0478,248.3707272,0
237.9845426,53.74604776,0.262455382,0.166557862,17379.0402,31304.41324,531.4893444,0
233.1403085,57.21937139,0.103719462,0.065437163,25087.96254,172274.8175,505.4260666,0
206.812581,80.68201656,0.165848352,0.107495759,25613.96174,52925.90652,477.1205337,0
212.0444681,77.87251045,0.172379241,0.112861525,23691.24426,39052.03546,464.0823714,0
214.4013471,75.8252148,0.180499325,0.115423984,25271.16007,76488.24655,454.7556574,1
235.1718398,56.96471405,0.232520348,0.14515823,20063.05116,32698.21259,588.2201947,1
246.5398516,38.3136853,0.315903472,0.203111886,7606.788744,8823.917804,458.6839776,0
199.606629,84.15028611,0.164107907,0.109561649,23394.06564,40694.70096,463.9252232,0
223.4825499,69.34754855,0.183617302,0.122288562,21870.43074,42073.6125,459.9471539,1
212.9749611,78.39897367,0.152978524,0.103952955,29975.90265,41562.01697,470.9731023,1
213.1334859,79.30940906,0.238455467,0.169868239,17616.91895,23650.8031,280.5073849,0
184.5170365,91.84018187,0.179423814,0.128273531,16355.08489,20344.99232,674.6829622,1
206.7543691,80.7644402,0.14340592,0.097454301,19569.75623,34690.60271,483.8459004,0
