mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
35.36149251,31.70376861,35.03777039,81.04299707,73.75639579,80.41361546,1.914139442,1.925238008,1.91340869,1
40.57085748,36.1930953,39.51164674,91.40538762,82.44483566,89.30154156,1.845171783,1.864778603,1.848992926,1
70.10182679,60.37973699,61.78084263,111.0523315,97.35124997,99.65151965,0.992987434,1.027351687,1.019407307,0
40.16205381,33.47437874,33.61095264,90.55126652,76.72509838,77.13692161,1.863086452,1.896386402,1.892107673,0
13.43284148,12.1377099,12.23807957,55.3987938,51.1388326,51.68479572,4.004971791,4.054211629,4.038960682,0
47.51293529,38.04667748,45.70737582,98.35735071,79.36109502,94.92897725,1.601611918,1.632104234,1.61016419,0
67.21012491,57.66656831,58.46638145,110.2973586,95.91973067,97.23412724,1.066950818,1.086051018,1.082028348,0
52.19493813,42.98826791,45.22449785,100.6109391,84.19191783,88.68748466,1.457664172,1.474899177,1.476633351,0
58.40745349,52.27201224,51.90363879,105.5604694,95.46536751,94.72389497,1.283635988,1.301951745,1.299517741,1
18.74652191,16.55630547,16.58485665,65.05942797,58.47871892,58.61693437,3.26689345,3.306171797,3.305002518,1
3.153635718,2.620236952,2.630107617,26.30159516,23.11024517,23.18709081,8.932402215,9.096230122,9.086841886,0
70.49334409,57.29770968,56.67261828,111.1898523,92.08438167,91.07893338,0.991564206,1.018161958,1.020686745,0
38.3294503,31.61101462,31.6695001,88.81521929,74.33038294,74.55741619,1.936166237,1.965945151,1.964980814,1
52.24825584,47.62175084,49.48681964,100.4400255,92.85878523,96.39869944,1.442096486,1.463584439,1.454523765,1
31.27382931,28.41570389,28.35403958,79.7796439,75.13264622,75.06216342,2.29032887,2.314816625,2.31437906,0
60.64451019,46.8400641,51.3147025,99.7306736,80.5911001,87.85827852,1.165529794,1.173860129,1.169427957,1
65.00706368,45.58628538,43.21347877,107.7055609,77.0830839,73.0217512,1.107874503,1.138265376,1.148304398,0
56.01338762,51.94651066,54.239819,103.1990443,97.15703166,100.8832575,1.343187062,1.361588636,1.350916034,1
51.48325515,45.06314498,47.20896779,99.08795779,88.66372253,92.82053569,1.473646272,1.49705738,1.486146867,1
71.16800654,58.92888414,60.35143871,111.0189161,93.94063182,96.27760798,0.97694156,0.997491543,0.994894575,0
51.65223351,47.5627789,49.87483818,95.52376699,89.40103137,93.32187456,1.360210702,1.372999348,1.363221108,1
40.48705161,28.33264881,28.36734659,90.96173882,64.88953735,64.96277339,1.863240168,1.90373999,1.915285346,0
24.97382328,20.02085317,22.1765514,72.2807095,59.7737785,65.94492199,2.677872563,2.753515016,2.712000451,0
72.30487574,58.8615674,58.40161655,108.5055225,90.54156274,89.89599479,0.905247047,0.918138286,0.917921223,1
28.56962802,25.40767796,25.58159341,78.65323549,71.13747592,71.58697922,2.456303842,2.486291048,2.487555523,1
30.01986921,26.80595277,29.65025675,78.10879593,70.58366409,77.35044428,2.263094659,2.29183094,2.265902091,0
76.03643288,62.77929182,72.11401744,114.1895684,95.73362118,109.0818749,0.866480617,0.907309998,0.876788644,1
22.8203861,18.86979714,19.35011186,70.75895649,59.90327934,61.49921522,2.877772287,2.931315018,2.914276063,1
55.80672014,52.84505468,53.79478502,103.8965153,99.29638845,101.0006025,1.352691902,1.361842866,1.359123926,1
32.79283991,23.75108187,24.26532896,81.9570856,61.20901301,62.53511842,2.210148793,2.278185744,2.281989625,0
11.31728201,10.129925,11.12023493,51.09481484,46.67336734,50.45098187,4.41951855,4.473566467,4.427761788,1
64.04929401,60.3707762,62.9674704,105.1695403,100.04869,103.9045028,1.070620043,1.077159019,1.078650661,1
44.08336613,39.24952037,40.42710383,93.43801998,85.21105395,87.77887307,1.728550629,1.753494197,1.743434707,0
35.0279603,29.35013425,32.68410716,81.51660071,69.12282813,76.46786516,1.933958651,1.964500016,1.939868327,0
47.58545892,42.14676462,43.27452832,96.66218221,87.22520207,89.71328269,1.602339092,1.619283054,1.611990537,1
78.40789497,70.75750727,72.82569389,115.0177937,105.0079794,108.1070396,0.816277494,0.827858764,0.825748356,1
14.67089934,12.02695895,11.11458012,57.04489244,48.24498529,44.2766266,3.805225512,3.876324568,3.925436543,0
29.84818146,22.38447924,22.50864047,78.78619047,60.7700686,60.94287023,2.372256872,2.421571834,2.418424409,0
26.71410929,22.14921114,22.43972103,75.36719097,64.33590842,65.16882314,2.589841721,2.645974106,2.630583355,1
25.68605122,19.52798866,21.2714655,70.26781351,55.47904611,60.54798338,2.519036579,2.591910302,2.555830309,1
